"STOCK_CODE","STOCK_NAME","MARKET_TYPE","SECTOR","LISTED_DATE","STATUS"
"483650","달바글로벌보통주","KOSPI","기타 화학제품 제조업",25/05/22,"ACTIVE"
"464580","닷밀","KOSDAQ","영화, 비디오물, 방송프로그램 제작 및 배급업",24/11/13,"ACTIVE"
"019685","대교우선주(신형)","KOSPI","일반서비스",04/02/03,"ACTIVE"
"006370","대구백화점보통주","KOSPI","종합 소매업",88/10/10,"ACTIVE"
"00806K","대덕1우선주","KOSPI","기타금융",18/12/19,"ACTIVE"
"008060","대덕보통주","KOSPI","기타 금융업",89/01/26,"ACTIVE"
"353200","대덕전자보통주","KOSPI","전자부품 제조업",20/05/21,"ACTIVE"
"35320K","대덕전자우선주","KOSPI","전기·전자",20/05/21,"ACTIVE"
"178600","대동고려삼 주식회사","KONEX","기타 식품 제조업",13/12/20,"ACTIVE"
"008830","대동기어","KOSDAQ","특수 목적용 기계 제조업",91/05/17,"ACTIVE"
"000490","대동보통주","KOSPI","특수 목적용 기계 제조업",75/06/27,"ACTIVE"
"004780","대륙제관","KOSDAQ","기타 금속 가공제품 제조업",94/12/29,"ACTIVE"
"006570","대림통상보통주","KOSPI","기타 금속 가공제품 제조업",75/11/20,"ACTIVE"
"389260","대명에너지","KOSDAQ","건물 건설업",22/05/16,"ACTIVE"
"317850","대모엔지니어링","KOSDAQ","특수 목적용 기계 제조업",19/07/24,"ACTIVE"
"290670","대보마그네틱","KOSDAQ","기타 전기장비 제조업",18/11/06,"ACTIVE"
"001685","대상1우선주","KOSPI","음식료·담배",89/11/21,"ACTIVE"
"001680","대상보통주","KOSPI","기타 식품 제조업",70/04/01,"ACTIVE"
"084695","대상홀딩스 1우선주","KOSPI","기타금융",05/08/17,"ACTIVE"
"084690","대상홀딩스 보통주","KOSPI","기타 금융업",05/08/17,"ACTIVE"
"036480","대성미생물연구소","KOSDAQ","의약품 제조업",00/04/04,"ACTIVE"
"128820","대성산업보통주","KOSPI","연료 소매업",10/07/30,"ACTIVE"
"027830","대성창업투자","KOSDAQ","신탁업 및 집합투자업",99/11/30,"ACTIVE"
"129920","대성하이텍","KOSDAQ","특수 목적용 기계 제조업",22/08/22,"ACTIVE"
"016710","대성홀딩스보통주","KOSPI","회사 본부 및 경영 컨설팅 서비스업",99/12/22,"ACTIVE"
"482690","대신밸런스제19호기업인수목적","KOSDAQ","금융 지원 서비스업",24/11/20,"ACTIVE"
"0030R0","대신밸류리츠위탁관리부동산투자회사보통주","KOSPI","신탁업 및 집합투자업",25/07/10,"ACTIVE"
"003545","대신증권1우선주","KOSPI","증권",88/09/01,"ACTIVE"
"003547","대신증권2우선주(신형)","KOSPI","증권",07/11/09,"ACTIVE"
"003540","대신증권보통주","KOSPI","금융 지원 서비스업",75/10/01,"ACTIVE"
"045390","대아티아이","KOSDAQ","기타 전기장비 제조업",01/05/17,"ACTIVE"
"108380","대양전기공업","KOSDAQ","선박 및 보트 건조업",11/07/08,"ACTIVE"
"014160","대영포장보통주","KOSPI","골판지, 종이 상자 및 종이용기 제조업",90/03/06,"ACTIVE"
"047040","대우건설보통주","KOSPI","건물 건설업",01/03/23,"ACTIVE"
"069620","대웅제약보통주","KOSPI","의약품 제조업",02/11/01,"ACTIVE"
"007680","대원","KOSDAQ","건물 건설업",17/12/01,"ACTIVE"
"000430","대원강업보통주","KOSPI","자동차 신품 부품 제조업",77/06/22,"ACTIVE"
"006345","대원전선1우선주","KOSPI","전기·전자",89/06/21,"ACTIVE"
"003220","대원제약보통주","KOSPI","의약품 제조업",99/12/15,"ACTIVE"
"024890","대원화성보통주","KOSPI","플라스틱제품 제조업",97/10/28,"ACTIVE"
"120240","대정화금","KOSDAQ","기초 화학물질 제조업",10/12/20,"ACTIVE"
"114920","대주이엔티 주식회사","KONEX","1차 철강 제조업",13/07/01,"ACTIVE"
"078600","대주전자재료","KOSDAQ","전자부품 제조업",04/12/10,"ACTIVE"
"393970","대진첨단소재","KOSDAQ","플라스틱제품 제조업",25/03/06,"ACTIVE"
"015230","대창단조보통주","KOSPI","자동차 신품 부품 제조업",89/07/25,"ACTIVE"
"140520","대창스틸","KOSDAQ","1차 철강 제조업",14/12/05,"ACTIVE"
"131220","대한과학","KOSDAQ","기계장비 및 관련 물품 도매업",11/10/11,"ACTIVE"
"010170","대한광통신","KOSDAQ","절연선 및 케이블 제조업",94/11/07,"ACTIVE"
